ID,Sale Date,Product,Type,Category,Cost Price,Sales Price
0,2022-05-28,Garlic Bread,Savory,Breads,5.31,9.22
1,2022-08-19,Cornbread,Savory,Breads,1.41,2.94
2,2022-04-13,Apple Pie,Sweet,Pies,9.73,20.38
3,2022-12-13,Cheese Puffs,Savory,Cookies,2.49,4.71
4,2023-08-03,Cookies,Sweet,Cookies,1.34,2.5
5,2023-06-26,Baguette,Savory,Breads,3.91,8.02
6,2022-01-07,Banana Bread,Sweet,Breads,6.14,9.48
7,2022-06-29,Carrot Cake,Sweet,Cakes,7.37,14.03
8,2022-04-30,Apple Pie,Sweet,Pies,9.73,20.38
9,2022-09-14,Cheese Bread,Savory,Breads,2.15,3.95
10,2023-05-28,Apple Pie,Sweet,Pies,9.73,20.38
11,2023-10-28,Pistachio Ice Cream,Sweet,Ice Creams,10.52,16.43
12,2022-03-18,Shortbread Cookies,Sweet,Cookies,0.7,1.28
13,2023-05-22,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
14,2022-11-05,Cheese Crackers,Savory,Cookies,1.29,2.8
15,2022-05-18,Banana Bread,Sweet,Breads,6.14,9.48
16,2022-07-30,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
17,2022-10-03,Strawberry Pie,Sweet,Pies,25.94,38.43
18,2023-09-20,Red Velvet Cake,Sweet,Cakes,30.92,45.57
19,2023-05-04,Rye Bread,Savory,Breads,2.46,5.29
20,2022-10-10,Banana Bread,Sweet,Breads,6.14,9.48
21,2023-01-01,Pecan Pie,Sweet,Pies,18.56,34.86
22,2023-03-31,Pistachio Ice Cream,Sweet,Ice Creams,10.52,16.43
23,2022-11-08,Chocolate Cake,Sweet,Cakes,11.02,21.75
24,2022-08-17,Pistachio Ice Cream,Sweet,Ice Creams,10.52,16.43
25,2023-01-30,Mint Chocolate Chip Ice Cream,Sweet,Ice Creams,7.53,13.37
26,2023-02-05,Pistachio Ice Cream,Sweet,Ice Creams,10.52,16.43
27,2022-04-27,Mint Chocolate Chip Ice Cream,Sweet,Ice Creams,7.53,13.37
28,2023-09-16,Pistachio Ice Cream,Sweet,Ice Creams,10.52,16.43
29,2023-01-08,Whole Wheat Bread,Savory,Breads,3.82,5.49
30,2023-12-10,Garlic Bread,Savory,Breads,5.31,9.22
31,2023-08-23,Chocolate Cake,Sweet,Cakes,11.02,21.75
32,2022-02-19,Red Velvet Cake,Sweet,Cakes,30.92,45.57
33,2023-10-16,Chocolate Cake,Sweet,Cakes,11.02,21.75
34,2023-08-22,Cornbread,Savory,Breads,1.41,2.94
35,2023-06-11,Banana Bread,Sweet,Breads,6.14,9.48
36,2022-03-18,Chocolate Cake,Sweet,Cakes,11.02,21.75
37,2023-04-06,Cookies,Sweet,Cookies,1.34,2.5
38,2023-10-06,Banana Bread,Sweet,Breads,6.14,9.48
39,2023-03-25,Cornbread,Savory,Breads,1.41,2.94
40,2023-02-26,Banana Bread,Sweet,Breads,6.14,9.48
41,2022-08-27,Cheese Bread,Savory,Breads,2.15,3.95
42,2022-11-04,Shortbread Cookies,Sweet,Cookies,0.7,1.28
43,2023-03-27,Cookies,Sweet,Cookies,1.34,2.5
44,2023-01-02,Carrot Cake,Sweet,Cakes,7.37,14.03
45,2023-08-08,Baguette,Savory,Breads,3.91,8.02
46,2023-09-14,Cheese Bread,Savory,Breads,2.15,3.95
47,2023-05-26,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
48,2023-09-13,Chocolate Ice Cream,Sweet,Ice Creams,6.97,15.27
49,2023-07-28,Pecan Pie,Sweet,Pies,18.56,34.86
50,2022-05-12,Coconut Ice Cream,Sweet,Ice Creams,7.67,13.02
51,2023-07-21,Chocolate Cake,Sweet,Cakes,11.02,21.75
52,2023-09-08,Cookies,Sweet,Cookies,1.34,2.5
53,2022-02-19,Strawberry Pie,Sweet,Pies,25.94,38.43
54,2023-12-28,Carrot Cake,Sweet,Cakes,7.37,14.03
55,2023-04-02,Pretzels,Savory,Cookies,0.72,1.11
56,2023-07-11,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
57,2023-02-03,Apple Pie,Sweet,Pies,9.73,20.38
58,2022-10-27,Pistachio Ice Cream,Sweet,Ice Creams,10.52,16.43
59,2023-02-15,Cookies,Sweet,Cookies,1.34,2.5
60,2023-04-24,Potato Bread,Savory,Breads,4.71,8.73
61,2022-06-17,Chocolate Ice Cream,Sweet,Ice Creams,6.97,15.27
62,2023-02-14,Cornbread,Savory,Breads,1.41,2.94
63,2023-08-16,Baguette,Savory,Breads,3.91,8.02
64,2023-01-22,Potato Bread,Savory,Breads,4.71,8.73
65,2022-06-06,Whole Wheat Bread,Savory,Breads,3.82,5.49
66,2023-04-02,Red Velvet Cake,Sweet,Cakes,30.92,45.57
67,2022-02-21,Red Velvet Cake,Sweet,Cakes,30.92,45.57
68,2023-12-22,Chocolate Cake,Sweet,Cakes,11.02,21.75
69,2022-12-27,Pretzels,Savory,Cookies,0.72,1.11
70,2023-07-30,Red Velvet Cake,Sweet,Cakes,30.92,45.57
71,2023-10-10,Chocolate Cake,Sweet,Cakes,11.02,21.75
72,2022-02-06,Cheese Bread,Savory,Breads,2.15,3.95
73,2023-01-03,Lemon Pie,Sweet,Pies,17.37,33.56
74,2023-07-10,Pretzels,Savory,Cookies,0.72,1.11
75,2022-06-11,Rye Bread,Savory,Breads,2.46,5.29
76,2022-01-16,Strawberry Ice Cream,Sweet,Ice Creams,10.96,15.86
77,2023-09-22,Red Velvet Cake,Sweet,Cakes,30.92,45.57
78,2022-08-27,Cheese Bread,Savory,Breads,2.15,3.95
79,2023-09-04,Pecan Pie,Sweet,Pies,18.56,34.86
80,2023-08-05,Cookies,Sweet,Cookies,1.34,2.5
81,2022-09-10,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
82,2023-11-26,Chocolate Cake,Sweet,Cakes,11.02,21.75
83,2022-11-25,Strawberry Pie,Sweet,Pies,25.94,38.43
84,2022-01-13,Red Velvet Cake,Sweet,Cakes,30.92,45.57
85,2023-01-15,Banana Bread,Sweet,Breads,6.14,9.48
86,2023-03-21,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
87,2023-12-03,Chocolate Pie,Sweet,Pies,8.55,17.24
88,2023-09-19,Cheese Puffs,Savory,Cookies,2.49,4.71
89,2023-09-13,Carrot Cake,Sweet,Cakes,7.37,14.03
90,2022-10-17,Whole Wheat Bread,Savory,Breads,3.82,5.49
91,2022-08-07,Pistachio Ice Cream,Sweet,Ice Creams,10.52,16.43
92,2023-08-17,Pecan Pie,Sweet,Pies,18.56,34.86
93,2022-10-01,Cookies,Sweet,Cookies,1.34,2.5
94,2022-03-14,Pistachio Ice Cream,Sweet,Ice Creams,10.52,16.43
95,2022-03-18,Rye Bread,Savory,Breads,2.46,5.29
96,2022-09-28,Red Velvet Cake,Sweet,Cakes,30.92,45.57
97,2023-09-16,Whole Wheat Bread,Savory,Breads,3.82,5.49
98,2023-09-16,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
99,2022-12-19,Pretzels,Savory,Cookies,0.72,1.11
100,2022-08-07,Garlic Bread,Savory,Breads,5.31,9.22
101,2022-10-23,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
102,2022-08-04,Passion Fruit Cake,Sweet,Cakes,28.09,46.18
103,2022-02-05,Pistachio Ice Cream,Sweet,Ice Creams,10.52,16.43
104,2022-02-12,Apple Pie,Sweet,Pies,9.73,20.38
105,2022-07-06,Carrot Cake,Sweet,Cakes,7.37,14.03
106,2022-12-19,Cheese Bread,Savory,Breads,2.15,3.95
107,2023-12-27,Mint Chocolate Chip Ice Cream,Sweet,Ice Creams,7.53,13.37
108,2023-09-16,Chocolate Pie,Sweet,Pies,8.55,17.24
109,2023-03-10,Cookies,Sweet,Cookies,1.34,2.5
110,2023-05-18,Shortbread Cookies,Sweet,Cookies,0.7,1.28
111,2023-05-05,Chocolate Cake,Sweet,Cakes,11.02,21.75
112,2023-04-13,Potato Bread,Savory,Breads,4.71,8.73
113,2022-09-18,Cornbread,Savory,Breads,1.41,2.94
